subject_id,task,trial_block,trial_number,shape1,label1,correct_key,participant_response,reaction_time,participant_correct,event_name,image,word,stimulus,category
1,localizer,2,537,,losange,,,,TRUE,word,1.0,0.0,losange,shape
1,localizer,2,538,croix,,,,,TRUE,image,0.0,1.0,croix,shape
1,localizer,2,539,,losange,,,,TRUE,word,1.0,0.0,losange,shape
1,localizer,2,540,carre,,,,,TRUE,image,0.0,1.0,carre,shape
1,localizer,2,541,,carre,j,j,539.0,TRUE,word,1.0,0.0,carre,shape
1,localizer,2,542,carre,,j,j,420.0,TRUE,image,0.0,1.0,carre,shape
1,localizer,2,543,,lampe,,,,TRUE,word,1.0,0.0,lampe,object
1,localizer,2,544,pince,,,,,TRUE,image,0.0,1.0,pince,object
1,localizer,2,545,,losange,,,,TRUE,word,1.004,0.0,losange,shape
1,localizer,2,546,losange,,j,j,489.0,TRUE,image,0.0,1.0,losange,shape
1,localizer,2,547,,biche,,,,TRUE,word,1.0,0.0,biche,agent
1,localizer,2,548,dinde,,,,,TRUE,image,0.0,1.0,dinde,agent
1,localizer,2,549,,losange,,,,TRUE,word,1.0,0.0,losange,shape
1,localizer,2,550,lampe,,,,,TRUE,image,0.0,1.0,lampe,object
1,localizer,2,551,,lampe,j,j,579.0,TRUE,word,1.0,0.0,lampe,object
1,localizer,2,552,biche,,,,,TRUE,image,0.0,1.0,biche,agent
1,localizer,2,553,,biche,j,j,403.0,TRUE,word,1.0,0.0,biche,agent
1,localizer,2,554,pince,,,,,TRUE,image,0.0,1.0,pince,object
1,localizer,2,555,,pince,j,j,357.0,TRUE,word,1.004,0.0,pince,object
1,localizer,2,556,lampe,,,,,TRUE,image,0.0,1.0,lampe,object
1,localizer,2,557,,pince,,,,TRUE,word,1.0,0.0,pince,object
1,localizer,2,558,pince,,j,j,650.0,TRUE,image,0.0,1.0,pince,object
1,localizer,2,559,,lampe,,,,TRUE,word,1.0,0.0,lampe,object
1,localizer,2,560,biche,,,,,TRUE,image,0.0,1.0,biche,agent
1,localizer,2,561,,cercle,,,,TRUE,word,1.004,0.0,cercle,shape
1,localizer,2,562,lampe,,,,,TRUE,image,0.0,1.0,lampe,object
1,localizer,2,563,,cercle,,,,TRUE,word,1.0,0.0,cercle,shape
1,localizer,2,564,losange,,,,,TRUE,image,0.0,1.0,losange,shape
1,localizer,2,565,,biche,,,,TRUE,word,1.0,0.0,biche,agent
1,localizer,2,566,cercle,,,,,TRUE,image,0.0,1.0,cercle,shape
