index,event_name,assignment_1_label,assignment_1_shape,assignment_2_label,assignment_2_shape,central_location_flash,initial_fixation,inter_assignment_fixation,outcome,peripheral_location_flash,post_assignment_fixation,post_central_fixation,post_outcome_fixation,post_peripheral_fixation,response,test_sentence_1,test_sentence_2,test_sentence_3,test_sentence_4,test_sentence_5,onset_sec,trial_number,trial_block
4349,peripheral_location_flash,,,,,,,,1.0,0.0,,,,0.2,,,,,,,3174.42,6,8
4350,post_peripheral_fixation,,,,,,,,0.8,-0.2,,,1.0,0.0,,,,,,,3174.62,6,8
4351,outcome,,,,,,,,0.0,,,,0.2,,,0.704,,,,,3175.42,6,8
4352,post_outcome_fixation,,,,,,,,-0.2,,,,0.0,,,0.504,0.9,,,,3175.62,6,8
4353,test_sentence_1,,,,,,,,,,,,,,,0.0,0.396,0.796,,,3176.124,6,8
4354,test_sentence_2,,,,,,,,,,,,,,,,0.0,0.4,0.8,,3176.52,6,8
4355,test_sentence_3,,,,,,,,,,,,,,,,,0.0,0.4,0.804,3176.92,6,8
4356,test_sentence_4,,,,,,,,,,,,,,0.804,,,,0.0,0.404,3177.32,6,8
4357,test_sentence_5,,,,,,,,,,,,,,0.4,,,,,0.0,3177.724,6,8
4358,response,,,,,,0.924,,,,,,,,0.0,,,,,,3178.124,6,8
4359,initial_fixation,0.5,,,,,0.0,,,,,,,,,,,,,,3179.048,7,8
4360,assignment_1_label,0.0,1.0,,,,,,,,,,,,,,,,,,3179.548,7,8
4361,assignment_1_shape,,0.0,,,,,1.0,,,,,,,,,,,,,3180.548,7,8
4362,inter_assignment_fixation,,,1.0,,,,0.0,,,,,,,,,,,,,3181.548,7,8
4363,assignment_2_label,,,0.0,1.004,,,,,,,,,,,,,,,,3182.548,7,8
4364,assignment_2_shape,,,,0.0,,,,,,1.0,,,,,,,,,,3183.552,7,8
4365,post_assignment_fixation,,,,,1.0,,,,,0.0,,,,,,,,,,3184.552,7,8
4366,central_location_flash,,,,,0.0,,,,,,1.0,,,,,,,,,3185.552,7,8
4367,post_central_fixation,,,,,,,,,0.8,,0.0,,1.0,,,,,,,3186.552,7,8
4368,peripheral_location_flash,,,,,,,,1.0,0.0,,,,0.2,,,,,,,3187.352,7,8
4369,post_peripheral_fixation,,,,,,,,0.8,-0.2,,,1.0,0.0,,,,,,,3187.552,7,8
4370,outcome,,,,,,,,0.0,,,,0.2,,,0.7,,,,,3188.352,7,8
4371,post_outcome_fixation,,,,,,,,-0.2,,,,0.0,,,0.5,0.9,,,,3188.552,7,8
4372,test_sentence_1,,,,,,,,,,,,,,,0.0,0.4,0.8,,,3189.052,7,8
4373,test_sentence_2,,,,,,,,,,,,,,,,0.0,0.4,0.8,,3189.452,7,8
4374,test_sentence_3,,,,,,,,,,,,,,,,,0.0,0.4,0.8,3189.852,7,8
4375,test_sentence_4,,,,,,,,,,,,,,0.8,,,,0.0,0.4,3190.252,7,8
4376,test_sentence_5,,,,,,,,,,,,,,0.4,,,,,0.0,3190.652,7,8
4377,response,,,,,,0.7,,,,,,,,0.0,,,,,,3191.052,7,8
4378,initial_fixation,,0.5,,,,0.0,,,,,,,,,,,,,,3191.752,8,8
4379,assignment_1_shape,1.0,0.0,,,,,,,,,,,,,,,,,,3192.252,8,8
4380,assignment_1_label,0.0,,,,,,1.004,,,,,,,,,,,,,3193.252,8,8
4381,inter_assignment_fixation,,,,1.0,,,0.0,,,,,,,,,,,,,3194.256,8,8
4382,assignment_2_shape,,,1.0,0.0,,,,,,,,,,,,,,,,3195.256,8,8
4383,assignment_2_label,,,0.0,,,,,,,1.0,,,,,,,,,,3196.256,8,8
4384,post_assignment_fixation,,,,,1.0,,,,,0.0,,,,,,,,,,3197.256,8,8
4385,central_location_flash,,,,,0.0,,,,,,1.0,,,,,,,,,3198.256,8,8
4386,post_central_fixation,,,,,,,,,0.8,,0.0,,1.0,,,,,,,3199.256,8,8
4387,peripheral_location_flash,,,,,,,,1.004,0.0,,,,0.2,,,,,,,3200.056,8,8
4388,post_peripheral_fixation,,,,,,,,0.804,-0.2,,,1.004,0.0,,,,,,,3200.256,8,8
4389,outcome,,,,,,,,0.0,,,,0.2,,,0.7,,,,,3201.06,8,8
4390,post_outcome_fixation,,,,,,,,-0.2,,,,0.0,,,0.5,0.896,,,,3201.26,8,8
4391,test_sentence_1,,,,,,,,,,,,,,,0.0,0.396,0.8,,,3201.76,8,8
4392,test_sentence_2,,,,,,,,,,,,,,,,0.0,0.404,0.804,,3202.156,8,8
4393,test_sentence_3,,,,,,,,,,,,,,,,,0.0,0.4,0.8,3202.56,8,8
4394,test_sentence_4,,,,,,,,,,,,,,0.8,,,,0.0,0.4,3202.96,8,8
4395,test_sentence_5,,,,,,,,,,,,,,0.4,,,,,0.0,3203.36,8,8
4396,response,,,,,,0.64,,,,,,,,0.0,,,,,,3203.76,8,8
4397,initial_fixation,0.492,,,,,0.0,,,,,,,,,,,,,,3204.4,9,8
4398,assignment_1_label,0.0,1.0,,,,,,,,,,,,,,,,,,3204.892,9,8
4399,assignment_1_shape,,0.0,,,,,1.0,,,,,,,,,,,,,3205.892,9,8
4400,inter_assignment_fixation,,,1.0,,,,0.0,,,,,,,,,,,,,3206.892,9,8
4401,assignment_2_label,,,0.0,,,,,,,,,,,,,,,,,3207.892,9,8
4402,assignment_2_shape,,,,0.0,,,,,,1.0,,,,,,,,,,3208.904,9,8
4403,post_assignment_fixation,,,,,1.0,,,,,0.0,,,,,,,,,,3209.904,9,8
4404,central_location_flash,,,,,0.0,,,,,,1.0,,,,,,,,,3210.904,9,8
4405,post_central_fixation,,,,,,,,,0.804,,0.0,,1.0,,,,,,,3211.904,9,8
